genes,rank
CBLB,25.10264052675536
PRMT2,24.81038212119235
IL16,24.80089645266405
CKLF,24.798418836019188
MBNL1,24.699565935677974
CCDC88C,24.442601476009045
ARHGAP15,24.362364789813594
YPEL3,24.297965772164698
CD8B,24.094656676106272
SYNRG,24.056346890025797
STK17A,24.018065261612563
PIM1,23.975471743414513
TRIM22,23.932682284104462
SP100,23.84686353075359
SIRPG,23.651998264610945
MPHOSPH8,23.58300131812093
RABGAP1L,23.575503979887774
STAT4,23.570054933058397
SAMSN1,23.212690970371078
GIMAP5,23.199993105505165
ARAP2,22.71762516687134
RPL21,22.6135687796443
CIRBP,22.52408288137389
SNHG6,22.30758368564835
DIAPH1,22.24654950489771
PSTPIP1,22.14907429307412
PPP1R18,22.009056895011344
PTPN7,21.922572088848224
RPL11,21.842497713228646
CD5,21.64511592473596
CXCR6,21.612237227970677
DOK2,21.591901571759145
PRF1,21.566085855672068
MYL12A,21.561606239677772
GNG2,21.499744989316564
CXCR3,21.183906392427076
RPL17,21.130907291451408
EIF3G,21.030846487483867
GRAP2,20.909333237498227
ERN1,20.745678045476023
IFI16,20.58827983967444
RPL32,20.404883075493938
ITGAL,20.39376287991829
LPXN,20.3802168057158
PCED1B,20.305132931748446
PIK3R1,20.27519851532609
PFN1,20.270921209846744
TERF2IP,20.268355249037807
SLA2,20.172643363422498
ANAPC16,20.113529009852037
ITGB2-AS1,20.078366808484628
TRAF1,20.053322442426598
RPL29,19.955832134295925
DAZAP2,19.935995734591145
SPN,19.826300082399268
CD6,19.788955526730323
DENND2D,19.659926727125345
PRDM1,19.535062140845124
PPP2R5C,19.438238438190197
RPL39,19.28130413287374
ALDOA,19.263282765713544
ZRANB2,19.139820244534388
CHST12,19.001077243479553
EML4,18.97159577884053
APRT,18.920954022779807
SLA,18.778044841330473
UBL5,18.75148971747884
ATP5MG,18.72644246254563
RPL37,18.5552251193928
TMEM259,18.538107612947208
SP110,18.45982109362233
TECR,18.44176450179422
DUSP4,18.40657719613299
APOBEC3C,18.374875631665052
CISH,18.33459203343339
TSTD1,18.3074141766631
RPL26,18.258262816938178
USP15,18.24316239346922
KLRG1,18.152103762688782
ATP8A1,17.965823476066973
RPL8,17.84383334371838
AAK1,17.790441810355123
IFITM2,17.741696294910504
CAMK4,17.741364642569163
EIF4E3,17.73228221123463
CDK6,17.676178592048455
MYCBP2,17.6480947421658
SUB1,17.570021358836474
RPLP2,17.565590927719605
PPP1CA,17.503027421666644
PSMB10,17.47456515251377
HCLS1,17.246967273190656
ICOS,17.24498257834134
CELF2,17.199405607170483
CRIP1,17.125660357402055
UBA52,17.104282400314524
BUB3,17.043933328321334
PSMB8,16.998529106844725
TSC22D4,16.909905885030927
ARPC1B,16.87420032068928
NLRC5,16.8331299901883
DRAP1,16.820412226197686
CSK,16.699767254836758
HSPE1,16.666831579735263
APOBEC3H,16.610097294574743
RPS16,16.57490912968046
MDFIC,16.570330720391297
SEPTIN9,16.438689951822642
SYTL1,16.385966718796617
AC026979.2,16.34163355657039
RGS1,16.33025769575677
RPS3A,16.25947558590081
NDUFA13,16.230458446506923
YWHAB,16.196193809291753
NDUFA3,16.169086836628313
C12orf57,16.07383245788097
PPP1R2,16.052835718616343
RPS23,16.05159182079722
RPS13,16.032333902675
CORO1B,15.915194334375155
PDCD4,15.860288279585514
TAF10,15.839777886467857
LAG3,15.803905327846143
CFLAR,15.781542660397763
JAK3,15.742260319068544
EDF1,15.725819098832275
CD47,15.63484065419888
HMGB1,15.490814633519822
BTF3,15.454625659104423
UBASH3A,15.334992678707204
PNRC1,15.326476048134262
RPL9,15.272100930246395
RPS24,15.263095680265682
PVRIG,15.254225043976074
DOCK10,15.235253153613405
PSME2,15.228431341175211
PTPN4,15.186774338895887
ELOB,15.17353869929423
STK10,15.12495685298577
JAK1,15.075291402599222
TTC39C,14.99353610948507
SON,14.984213821006978
NDUFB8,14.893023532146481
ARHGAP4,14.825238236244095
MZT2B,14.79068651647474
INPP4B,14.779651814696798
RAP1B,14.670492295600713
ATP5MC2,14.65424048545697
TAX1BP1,14.598623098404616
UQCR11,14.519870009317136
MIF,14.447042272253533
PLP2,14.438557247985969
BTN3A2,14.431149376380459
ATP2A3,14.407602483754273
KLRB1,14.254407038342459
UGP2,13.805444109534246
MSN,13.787316145846065
CDC42SE1,13.746822513112553
RASSF5,13.632483406028125
ABHD17A,13.624940637314259
RNF167,13.60220984414119
SLC9A3R1,13.6011716790478
FAM107B,13.58864028648849
ARID5B,13.57860714940858
BOLA2B,13.52696703453817
FLT3LG,13.46114406049534
EIF3E,13.310438758301094
ZNF683,13.2797938329368
TRIR,13.266055911780695
EEF1B2,13.22844777648136
FMNL1,13.192390015211155
RPL27,13.111734130478261
NDUFA4,13.100077285541328
TNIK,12.969889635325192
SCML4,12.963048818223063
ABRACL,12.875116241819152
RPL22,12.869487504817993
TBCB,12.720025874847332
GABPB1-AS1,12.695233607254702
TRAPPC1,12.683943703552895
ARPC2,12.638488816829598
SH3KBP1,12.614586178064831
IRF9,12.608629296251312
RPS5,12.577568631094502
CHCHD2,12.573944971856172
PAIP2,12.534438365331134
HECA,12.531742390233019
SELPLG,12.513054063193396
HSP90AA1,12.470932707282511
EPC1,12.464763859899088
CHKB,12.443140819674564
PRKACB,12.390708327612343
MYO1G,12.378963692177578
ARHGEF3,12.330489347083198
CIB1,12.293543427329933
BTN3A1,12.286989412967745
PHTF2,12.247188222620657
SLC2A4RG,12.211703382063362
BIN2,12.192619556729163
RPL38,12.168460016944719
KIF2A,12.135068951836056
MAP4K1,12.09596600087842
RPL12,12.086941135251593
ADGRE5,12.058595026407612
SOD1,11.999844134920673
RPL5,11.980437114237347
RCSD1,11.937278027300726
LNPEP,11.920760049000801
AOAH,11.892645097272478
JUNB,11.869189943284164
VAMP8,11.859666142395582
RPS6KA3,11.799145371761682
RSBN1L,11.707348841874383
EPS15,11.701764857803271
RPL10A,11.698210734630683
PSMB8-AS1,11.693509401509795
RPS27L,11.586276415146724
EPB41,11.545326600781047
LBH,11.531261825618678
RPS9,11.510584134883258
ELF1,11.49705678995154
GIMAP1,11.464592770382211
APBB1IP,11.450657299968736
AC243960.1,11.4498516397797
CLIC1,11.410186483882626
TNFRSF14,11.38000676133459
WAKMAR2,11.350700735389381
GLIPR1,11.346256331251002
DDX6,11.278378984644085
ATM,11.273205096309612
C21orf91,11.206051579165493
PDE4B,11.17674059480227
ARPC3,11.166903714367335
COX7A2,11.080970155097674
UBXN1,11.032918139315488
JAML,10.979513651123154
