genes,logfoldchanges,pvals,pvals_adj
PARP15,-1.4005399,0.0024172593320175326,0.04036805349624584
EIF3B,-1.0252585,0.0024168839046147515,0.04036805349624584
EHD1,-1.7131549,0.0024138824061305823,0.04036805349624584
PDCL3,-1.1560323,0.0024135074588109207,0.04036805349624584
SMC4,-1.1152873,0.002397062456673866,0.040178155845957686
SNRPN,-1.10076,0.0023203405392592325,0.03898437178597951
MFHAS1,-2.7720957,0.002291573345303947,0.03863762406356181
RMND5A,-1.4069562,0.0022698582892616945,0.038340246250290914
GLCCI1,-1.1425865,0.002248683276652287,0.03805541170495119
SUPT3H,-1.253544,0.002211715898686868,0.037497271542044894
ZNF335,-2.6829128,0.0022054940235463273,0.0374637723611653
POLR2B,-1.0130155,0.002174283833908731,0.03698882558103926
PRKY,-1.5537573,0.0021603548389110662,0.036834454564264936
TNFRSF25,-2.0132291,0.002148529009720228,0.03672233024843792
FRG1,-1.118016,0.00207554417844735,0.03565549931307063
POLR2C,-1.5880606,0.002054419843383704,0.03534595954278146
ISCA1,-1.552905,0.002019756644311357,0.03482856116501145
PVT1,-1.1043874,0.0019966317548027537,0.03450822475536847
EIF4E3,-1.7063285,0.001990652932655873,0.0344310349947667
ZNRF1,-1.4494182,0.0018437825316054781,0.0321010568115717
ZNF394,-1.1364006,0.0018193304502300606,0.03175736173936859
LPXN,-1.052908,0.0018014740260180926,0.03146980182672588
RBM34,-1.8510267,0.0017914650583505886,0.03141550667039761
UNC13D,-1.5615518,0.0017645549569629917,0.031039258060580846
RHOT2,-1.3363692,0.0017642736797798925,0.031039258060580846
GADD45A,-1.0110141,0.0017536156419732543,0.03089458145711704
LPIN1,-1.3396705,0.0017357989839252117,0.030604381465612444
MED15,-1.3162162,0.001715680153683683,0.030296595545498833
ADSL,-1.2404597,0.001709112732262261,0.030204055909746574
CSGALNACT2,-1.2425002,0.0016573998638646907,0.029381414097576393
RASA3,-1.2500741,0.0016141135059526478,0.02868107074355517
PTK2B,-1.1725599,0.0015945276787178674,0.02837735654650203
AQP3,-1.970965,0.001557765603290433,0.027810086793801442
HDAC1,-1.1127586,0.0015299060739621235,0.02739867982338777
STK39,-1.3501041,0.0014928304758216068,0.02681910599104295
TSEN54,-1.173739,0.0014634364291968654,0.026311800948956597
ATXN7L3B,-1.2572598,0.001453051674155172,0.026145740875193696
NMRK1,-1.2492899,0.001432717822038696,0.025808619979612486
NFATC3,-1.3366497,0.0013475997744822256,0.02451963714369658
INPP4A,-1.2603252,0.0012390551297831664,0.0226897609526343
HDAC10,-1.8062794,0.0012347970496527257,0.022629992306115412
U2AF2,-1.0305505,0.0011827963694077898,0.021764600614761608
MTHFD2,-1.0101135,0.0011792991575786795,0.021717805359875327
WDR43,-1.107227,0.001168479952154759,0.02155343652426793
CXCR3,-1.3800163,0.0011401382567010655,0.021106261275808107
LRP10,-1.0359725,0.0011324517789539912,0.021059532183456492
RNF216,-1.1389627,0.0011264858930012866,0.020965717004493283
SLAMF6,-1.7688565,0.0011235138584681367,0.020927514276965407
PPP2R5A,-1.4301502,0.0010987244296256063,0.020532976574004966
PHF1,-1.3550138,0.0010905743441065514,0.020397414314341267
MFSD11,-1.1070532,0.001049436196146231,0.019676496455255772
NLRP1,-1.3382952,0.0010371364055215015,0.019477969358482193
DHX15,-1.0294448,0.0010367918722640427,0.019477969358482193
SLAMF1,-1.4517373,0.0009995333218231269,0.01883392174779637
SYNJ2,-2.2942007,0.0009784299935000087,0.018466852000039138
DBF4,-1.7037141,0.0009470722100171998,0.01794942351741174
POLR2J3,-1.0120598,0.0009114364300758822,0.017346250854002702
GATAD2A,-1.2776238,0.0008774893551383864,0.016767494764447024
VPS51,-1.1273341,0.0008534494615895919,0.016338281450548605
MFSD10,-1.1127608,0.0008199866488441273,0.01575066337636289
RUNX2,-1.092824,0.0007974130066961449,0.015381961744421737
CABIN1,-1.471763,0.0007804324244221808,0.015092780666693015
SBF1,-1.6853137,0.0007768659182923567,0.015041686730395925
MARCH6,-1.0367407,0.0007560396928234307,0.014683426184340384
PTGER2,-1.7890352,0.0007488738404103363,0.01456911654309408
SIPA1L1,-1.111525,0.0007088795623743445,0.013874046946487386
TRAF5,-1.2859049,0.0006909345107360399,0.01354612517947781
SENP7,-1.0563712,0.0006714528766524148,0.013209689177495477
PRF1,-1.1499921,0.0006390509772160856,0.012637774407812807
BRD1,-2.8608263,0.0006292275445606529,0.012486902675928143
RBM4,-1.3425647,0.0006131667613406867,0.012221455185321113
RALGAPA1,-1.0577278,0.0005769634045775953,0.011560599485031008
AP1G2,-1.6454476,0.000560103604920717,0.011262436621206148
USP47,-1.375468,0.0005302411930450002,0.010680840739902915
GPR171,-2.360237,0.0005138499740209917,0.010387436153344417
CLSTN3,-2.1741323,0.0005072493712898691,0.010281398209528048
NFKB2,-1.6102506,0.0005052139890285873,0.010249269891505085
TMEM243,-1.0299172,0.0004749986060113106,0.009670767683389491
R3HDM4,-1.2072682,0.0004673018786288454,0.009522583134601413
AHR,-1.0269607,0.0004614232026467714,0.009419654653494
PIM3,-1.0781,0.000451698934639279,0.00927102899031494
BOLA2B,-1.899372,0.00040251063744752366,0.008321477865195761
NBPF15,-1.9583328,0.00040108403118791565,0.008299522470817578
NLRC5,-1.4661449,0.0003940916305682845,0.008177131900633813
HAUS3,-1.6861459,0.0003803794423373724,0.007914256733531326
RGS14,-1.3978258,0.0003717302635111089,0.00774846543776544
CERK,-1.2092924,0.00035810648035620855,0.007505727169307568
FAM160B1,-1.5902284,0.0003547266350193586,0.007441739784618101
MATR3-1,-1.1956295,0.0003440858525180071,0.0072251680581318055
REST,-1.07226,0.0003423007481236757,0.007194320986880062
USP7,-1.1937389,0.000336755300927954,0.00708431068366182
CUL3,-1.0545382,0.0003351261887003308,0.0070696406924902035
CYBC1,-1.078001,0.00033010487404438473,0.006976645443823848
VPS13A,-1.23951,0.00032803351176470964,0.006945766320733322
LYAR,-1.310784,0.0003228791283596973,0.006855759999742006
NPIPB5,-1.4594488,0.0003127969734259774,0.006660322459421981
ANKRD13D,-1.3093523,0.00031144519689121767,0.0066502022248010285
RHBDD2,-1.1753991,0.0002963415340174195,0.006379008217446387
SND1,-1.015634,0.0002811078840816406,0.006088085306818557
BCL9L,-2.1339004,0.0002798848220090185,0.0060731537831928304
TRAT1,-2.4393234,0.00026588245756800963,0.005785866633999077
CD226,-1.5054508,0.0002643357031432594,0.005757712224829542
NSMCE3,-1.0227879,0.0002623662508559002,0.005725772389244488
ATG2A,-2.5740228,0.00025046859306371744,0.005487166617243827
JOSD1,-1.1768361,0.00023772201346932792,0.005233102969621704
STK38,-1.3131555,0.00023546300034043007,0.005193419393167508
THEMIS,-1.7050172,0.0002334385459181012,0.005158765225425068
ADAM8,-1.884065,0.0002255444661047099,0.005003745748026712
STAT5B,-1.6326007,0.00022496366177355892,0.004995729628575364
MAN1A2,-1.1812074,0.00022488080442346643,0.004995729628575364
KLRG1,-1.6657175,0.00022175336871668258,0.004934066645874026
MED10,-1.0961541,0.0002168182547237734,0.004833709220394251
SIT1,-1.4596843,0.00021344101303934223,0.004767756956625621
TNFRSF18,-1.3927193,0.00021202559657278647,0.004745453912674303
CORO7,-1.0372653,0.0002080244655642925,0.004660485123203175
SCML4,-2.2287104,0.00020679590613889757,0.004637525532545405
SNHG15,-1.0575653,0.00019520567805679523,0.004394927442066047
ATP8B2,-2.0692065,0.0001942648893931841,0.004382415671325725
RFTN1,-1.6339265,0.00018051975294339516,0.004096700514952702
CCR4,-3.6887898,0.0001715700410147021,0.0039052772735766487
PFKP,-1.6964353,0.00017112087979183425,0.0038989524182399715
SMARCC1,-1.0223029,0.00016276355768921898,0.003727187223462779
DANCR,-1.451339,0.0001606671067508557,0.0036903175417386256
GPATCH8,-1.2340969,0.00015646181989233468,0.003604639619827249
USP3,-1.0608149,0.00015646181989233468,0.003604639619827249
MIR4435-2HG,-1.2371095,0.00015634404579990246,0.003604639619827249
AGO2,-1.7347867,0.00015386098497169467,0.0035627504983984887
SAMD3,-1.2778139,0.00014988027362065716,0.0034741087455737256
ABHD14B,-1.0285587,0.0001491465279924752,0.0034641563981272654
ITPKB,-1.7242754,0.00014892144136114698,0.0034641563981272654
MRPL23,-1.3023823,0.00014541824378914395,0.0033879325129257875
LINC00892,-3.3404102,0.0001411082413467917,0.0032976445477778983
TNIK,-1.4988419,0.0001374131550827155,0.0032145922260974
CD27,-1.1329795,0.00013206613934243225,0.003099061302796333
IL2RA,-1.6654767,0.00012920824322623702,0.0030351269683339594
HDAC7,-1.6204203,0.00012847234780824225,0.0030240822965989763
KLF12,-2.1996243,0.00011657313430280703,0.002758251229730243
SP3,-1.3736578,0.00011648387906765877,0.002758251229730243
SMC5,-1.1385041,0.00011214542975070992,0.002667350336453144
ATXN2L,-1.0353055,0.00010825077518848529,0.0025865182820657864
LBR,-1.0318087,0.00010577991968586577,0.002539833894398393
SURF4,-1.216509,9.962165731871309e-05,0.0024046534081532847
PRRC2A,-1.005812,9.858747899514224e-05,0.002382216769519562
PHYKPL,-1.0937427,9.651209024998948e-05,0.0023370299981598512
TTC19,-1.0327715,9.647474054422007e-05,0.0023370299981598512
IL27RA,-2.283,9.287995067495386e-05,0.0022538736004939232
CRTC3,-1.7431867,9.221569530271824e-05,0.002240142642988765
ESYT2,-1.0269451,9.024974757669508e-05,0.0021947273016460827
P2RY10,-2.0322306,8.979501268642705e-05,0.002188344838081855
MCUB,-1.0378944,8.840936580042156e-05,0.002159199554022742
PLSCR3,-1.5200025,7.588788040608842e-05,0.0018653994965479315
ABCC1,-1.7859231,7.319570644507939e-05,0.0018089909555948937
SYNE1,-1.016797,7.088648378159107e-05,0.0017595617708141503
CBX4,-1.4237695,6.841655455322992e-05,0.0017019646062739011
RNF167,-1.1474507,6.822790143931898e-05,0.0016991285476605895
RAB11FIP1,-1.4648913,6.646008005146633e-05,0.0016587328312845139
SPSB3,-1.1081678,6.421267807858372e-05,0.0016061637125546402
HIPK1,-1.1471457,6.282922524304494e-05,0.001573288036284036
HERC1,-1.2091967,6.157164074076546e-05,0.0015434952494948273
CCSER2,-1.2390108,6.0361877503214575e-05,0.0015148368861391073
PSTPIP1,-1.4849188,5.989619851554194e-05,0.0015048093494600063
IL2RB,-1.0786167,5.910411833359152e-05,0.0014881946255632856
PLCG1,-1.7501464,5.815977220115218e-05,0.0014660384660494196
DDX39A,-1.1463556,5.785969073009428e-05,0.0014600912199538869
MDFIC,-1.004147,5.7378039321769045e-05,0.001449543763642738
ASXL1,-1.1374465,5.567757095503897e-05,0.0014112838196866336
RASA2,-1.0295181,5.429528641641589e-05,0.0013808595635871044
NLRC3,-2.1292555,5.0189756403330904e-05,0.0012807390529737872
DHX36,-1.0584127,4.8409242109429364e-05,0.001237187314331481
RC3H1,-1.104204,4.694305053559517e-05,0.0012032857165441637
SECISBP2,-1.5149772,4.521730883900409e-05,0.0011629789647383175
TBCD,-1.5072306,4.249123414816041e-05,0.001096582167438126
DAZAP1,-1.0324352,4.0574455733721467e-05,0.0010518858330421047
TMF1,-1.2161138,3.984065941453277e-05,0.0010375893473610926
CD40LG,-2.7901804,3.918306977637078e-05,0.0010216323416377454
GZMM,-1.3319948,3.5848818351368305e-05,0.0009444338001317655
UHRF2,-1.8266487,3.5673736314151925e-05,0.0009420018398871532
TESPA1,-2.435047,3.495292966788008e-05,0.0009251146338375423
ITGAL,-1.2577199,3.451299876653177e-05,0.0009145342001441166
DGKA,-1.3431159,3.449184573750567e-05,0.0009145342001441166
KLRB1,-1.090818,3.41760241442085e-05,0.0009098417094391508
ATP11B,-1.3374304,3.273816043035813e-05,0.000875659233508592
LRBA,-1.4027237,3.2377821120581175e-05,0.0008670399580549044
HECTD1,-1.2204134,3.165541879077103e-05,0.0008486933362962664
CPD,-1.3698871,3.15192579747269e-05,0.0008460393278546388
PTPN22,-1.2211843,3.109493767292295e-05,0.0008366228975308182
FBRS,-1.8153777,2.7769780093907604e-05,0.0007570008796377543
IKZF3,-1.0875493,2.508483836290873e-05,0.0006854514895756644
SNRK,-1.5170921,2.4986072864418642e-05,0.0006839992705477921
RFLNB,-2.8475482,2.1563076714402947e-05,0.0005978303924156393
TNFRSF4,-1.4612064,2.110772892062662e-05,0.0005859196654771989
PDE3B,-1.1404868,2.0622609510488745e-05,0.0005752596049972363
YY1,-1.0002025,2.0471858235402485e-05,0.0005717551376125539
ANKRD36,-1.2442269,1.974199975403027e-05,0.0005527274273077947
NDUFV1,-1.0505376,1.9445605061336094e-05,0.0005450995842440051
DUS1L,-1.224439,1.8798092709000984e-05,0.0005282496126447905
TMEM238,-2.0015466,1.8640434594426186e-05,0.0005244667147568959
ESYT1,-2.0015597,1.74458397484986e-05,0.000491463124202135
CASK,-1.3941094,1.6804979047333958e-05,0.00047399619959778884
HMOX2,-1.5929341,1.4250820515144741e-05,0.000404965264126997
NOSIP,-1.3620722,1.4181081697315588e-05,0.0004034872269928718
TUBB4B,-1.0270194,1.2168495647788762e-05,0.00034972133577647454
RELB,-1.6486018,1.2144990901379807e-05,0.0003494870833087322
MYLIP,-1.7654845,1.1310023155323845e-05,0.0003266989175907124
MVP,-1.2087927,1.0600839809731734e-05,0.00030816898563105203
FKBP11,-1.5371534,9.83777080942031e-06,0.0002893118077054588
SELL,-1.1608407,9.45460221623978e-06,0.00027912536400265866
ATP2B4,-1.5415069,9.221153320114783e-06,0.00027294134183673954
TLE4,-1.5152215,9.003015080762446e-06,0.00026822857234072616
ATXN7,-1.6871945,7.673823596335556e-06,0.00023043743100236138
CCDC12,-1.208894,7.241629698511622e-06,0.00021832314595698215
SH2D2A,-1.4184085,6.855398368241539e-06,0.00020750342773658765
USP36,-1.2045804,6.428978581655555e-06,0.00019537571492075266
VPS37B,-1.4924833,6.0480751301201355e-06,0.00018453925752251278
ARID5A,-1.170579,5.798514520433889e-06,0.0001781184716789692
PKN1,-1.2961396,5.757465094138648e-06,0.00017709651415241066
CAPN2,-1.3271939,5.411160003226788e-06,0.00016734894564327194
LEF1,-1.9401182,5.327455056791039e-06,0.00016498439728255458
ADD3,-1.2649254,5.144201819699888e-06,0.0001600692937499486
POLR2J,-1.2752311,5.080310187157712e-06,0.00015840824723299156
SLC2A4RG,-1.6052077,5.073509902201223e-06,0.00015840824723299156
SATB1,-2.3271654,5.071245078223985e-06,0.00015840824723299156
AC044849.1,-1.4772683,4.893162698730947e-06,0.00015320243376686906
STK10,-1.1192268,4.380343194659175e-06,0.0001386722834448291
RBL2,-1.0305086,4.340177584431496e-06,0.0001375920921682865
AP3M2,-2.7923007,4.334329371773419e-06,0.0001375920921682865
MYO1G,-1.5167371,4.138990592611324e-06,0.00013250591261465395
TARSL2,-1.8299239,4.022238513458309e-06,0.00012913144293841752
TRABD,-1.0517117,4.011371509091847e-06,0.00012896446086150935
SPN,-1.2170726,3.947648572701888e-06,0.00012709529959241918
TNFSF8,-2.0681007,3.925442761361868e-06,0.00012655938829195303
BCL7C,-1.064459,3.847357810957869e-06,0.00012421781346528087
MAP4K1,-1.5224868,3.82223760188361e-06,0.0001235820629177198
PXN,-1.7827196,3.740197864746181e-06,0.00012127405099337974
KAT6B,-1.4326422,3.5714319578598113e-06,0.00011646552181204159
FBXW5,-1.4650699,3.3891443427072145e-06,0.00011083865449526094
MAF,-1.018513,3.2688944557935255e-06,0.0001072140858829571
ITGB2-AS1,-1.3278228,3.1599294726412287e-06,0.0001037897758387585
GRK6,-1.6138415,3.130562476473116e-06,0.00010297379059173565
ENO3,-2.510155,3.0026473716030335e-06,9.93404934192271e-05
PHACTR2,-1.2552122,2.8018052167079e-06,9.283069918879945e-05
RASSF5,-1.1692617,2.5917887526123097e-06,8.599751543288833e-05
HUWE1,-1.1511403,2.4024528604870693e-06,7.983157957723602e-05
DENND2D,-1.5120964,1.8487724656965492e-06,6.18849395061542e-05
GOLGA8A,-2.0495744,1.767124747144261e-06,5.941402288699803e-05
RHOF,-1.4326557,1.7264031095221482e-06,5.813075085642476e-05
MAZ,-1.3205886,1.690131369026314e-06,5.7078294097591927e-05
RNF145,-1.119365,1.6596252804589167e-06,5.613133823745299e-05
GNLY,-1.2506346,1.623564437881995e-06,5.5183370220592996e-05
IQGAP2,-1.4432029,1.5871428157667304e-06,5.4081653851021435e-05
ZNF831,-2.5661533,1.5613484553820084e-06,5.328247907257163e-05
ZRANB2,-1.012629,1.5399209253485963e-06,5.2630150304481605e-05
URI1,-1.1230067,1.5205572948115037e-06,5.2046503976690895e-05
PARP1,-1.0203643,1.5045999589137038e-06,5.157786786866525e-05
NUP210,-1.4724936,1.4621436809101007e-06,5.019806103299504e-05
ST3GAL1,-1.5249044,1.4218426452532075e-06,4.8962151726555985e-05
SERINC5,-2.4604897,1.4101941307397943e-06,4.863460424833212e-05
SLFN5,-1.1144444,1.3526776406718326e-06,4.6864000695543765e-05
ANP32E,-1.1173285,1.2484599416959892e-06,4.345175105945582e-05
TRAPPC10,-1.5094844,1.1781970864876117e-06,4.1132089083789904e-05
PITPNC1,-1.7510663,1.0559156109381413e-06,3.697654020949842e-05
S1PR4,-2.496222,1.0220675410936677e-06,3.60128504185357e-05
CEBPZ,-1.1838485,8.844704433877149e-07,3.135874802553141e-05
ATP2A3,-2.0298536,8.768841136166332e-07,3.1138277993980977e-05
PRKCQ-AS1,-2.3921838,8.718614125551224e-07,3.1008296050905774e-05
STT3B,-1.1886625,8.178197663186829e-07,2.9223255134922857e-05
MPRIP,-2.1478548,7.640656753361883e-07,2.747498088783937e-05
OPTN,-1.360754,7.607643540556575e-07,2.739955415666911e-05
RBPJ,-1.0554512,7.433880773447157e-07,2.6858729232572093e-05
EPB41,-1.1689692,7.242967707456173e-07,2.621056136043202e-05
CD5,-2.20871,7.197717589419389e-07,2.608828786152295e-05
PHTF2,-1.1629463,7.087490070652299e-07,2.572973668073168e-05
LINC01871,-2.9292822,6.722476882098342e-07,2.456131922798113e-05
PRMT2,-1.0377089,6.213982889889622e-07,2.281333524833348e-05
THEM4,-1.7453028,6.197437971207605e-07,2.2789351066337237e-05
PRKX,-1.782668,6.176442201242852e-07,2.2748896016940097e-05
SH2D1A,-1.6208307,6.149548361305456e-07,2.2686551021075328e-05
SSBP4,-1.0947846,6.125737510895728e-07,2.2635395653085807e-05
PTPN7,-1.5666591,5.685711417615013e-07,2.107787675696302e-05
RBM38,-1.2143099,5.32144264985578e-07,1.9759653767702655e-05
TTC39C,-1.5452213,5.207216291291039e-07,1.936710085332788e-05
RTF1,-1.1027877,5.085415508520933e-07,1.89946406712235e-05
TMEM173,-1.3807497,4.820442297141571e-07,1.804653084992376e-05
HECA,-1.3662674,4.487784079970963e-07,1.685659096176552e-05
SNRNP200,-1.2056155,4.1742459412384175e-07,1.575691312014409e-05
OCIAD2,-1.1632336,4.1517299612126626e-07,1.5697953052678178e-05
PRDX2,-1.1681464,4.1070490231996186e-07,1.5554850227299454e-05
CDC14A,-2.272239,3.9001131512691056e-07,1.4820429974822603e-05
TMC6,-1.3610023,3.685016632922663e-07,1.4026479698760143e-05
ADAM19,-2.7498224,3.6768369650469376e-07,1.4018787771926029e-05
EMD,-1.2037883,3.6218570791064494e-07,1.385558165287748e-05
CD55,-1.0881335,3.5606230208982733e-07,1.3690354932717312e-05
IRF2BP2,-1.2410334,3.4148353572141984e-07,1.3196686315943901e-05
DGKZ,-1.2704043,3.350338271159381e-07,1.2991550209221439e-05
DEF6,-1.1729963,3.1000600015279617e-07,1.2062147992269993e-05
RSBN1,-1.5024552,2.9673610362122433e-07,1.1605338815509121e-05
ICOS,-1.8074502,2.581278748581154e-07,1.0182853877851684e-05
SP140,-1.2910722,2.4186914833343194e-07,9.558030476329128e-06
FCMR,-1.6238036,2.2705746479502198e-07,8.988316545503113e-06
TRA2A,-1.2044042,2.2535367730948862e-07,8.936411851774529e-06
CENPC,-1.3150828,1.9283440696898333e-07,7.687034625968474e-06
RPS6KA3,-1.0842851,1.8273159178896531e-07,7.30990596186367e-06
DYNLRB1,-1.8256353,1.6478956425374038e-07,6.615414570623701e-06
PACS1,-1.4653549,1.5551792275551716e-07,6.276416591774968e-06
KCNAB2,-1.8289906,1.484809193126761e-07,6.003059831962937e-06
RASGRP1,-1.7215043,1.484431186015897e-07,6.003059831962937e-06
NCK2,-1.0639523,1.2973156253153876e-07,5.30152572054378e-06
PPP1R16B,-2.0531406,1.108917682131558e-07,4.547961131653788e-06
TLK1,-1.4344497,1.0614712791332916e-07,4.369115597763469e-06
NBEAL2,-2.1045685,9.901271918931144e-08,4.0828396996143244e-06
TSTD1,-1.1149547,9.033544306477728e-08,3.738573372800837e-06
PDE4D,-1.7081733,8.497931063459062e-08,3.5233134219755042e-06
SLC9A3R1,-1.5136822,8.445217238383807e-08,3.5142602336397115e-06
PCNX1,-1.4385675,7.158193349239474e-08,2.9896293030346587e-06
PRPF4B,-1.0309261,6.260518549298587e-08,2.6243448106654593e-06
ARHGAP30,-1.4276748,6.077978663058596e-08,2.557244922893526e-06
RBMX,-1.004572,5.553468282207234e-08,2.3495919152342206e-06
GIMAP7,-1.0865043,5.0582596298152124e-08,2.160152076807765e-06
FAM102A,-2.4964767,4.9933623478523274e-08,2.1364457474025317e-06
PLP2,-1.0403136,4.534703672556746e-08,1.9512084119988024e-06
RNPEPL1,-1.6826448,4.1399888295938896e-08,1.7949414426517357e-06
TOB1,-1.3669379,4.0241576826759916e-08,1.7480510910891396e-06
SFXN1,-1.745341,4.010300684267612e-08,1.7453626037342137e-06
CD28,-2.0656316,3.5800124593475325e-08,1.5640737735061139e-06
FAM89B,-1.8387513,3.433350355587614e-08,1.5028830921901012e-06
FGD3,-1.9215134,2.9388380642278105e-08,1.28889849745575e-06
PER1,-1.1453267,2.7211529881699145e-08,1.2003659751303022e-06
CYLD,-1.2298256,2.5002391257218194e-08,1.1050571452365059e-06
FLT3LG,-1.8904238,2.023307226429154e-08,9.048039113552143e-07
ABRACL,-1.2225322,1.9713655180510387e-08,8.833114551550737e-07
BATF,-1.6361401,1.899476375582385e-08,8.527787230967702e-07
MECP2,-1.9913709,1.8693069876539925e-08,8.425577357025777e-07
ABHD17A,-1.1864538,1.8561601823417165e-08,8.382920252075823e-07
STK24,-1.1969224,1.6531197951883203e-08,7.495679836270228e-07
MZT2A,-1.266264,1.6459302379354815e-08,7.477976861454576e-07
LINC01138,-2.4743001,1.6249860921556688e-08,7.397586685929466e-07
MAP2K2,-1.389294,1.5843035254777392e-08,7.24134876444263e-07
MLLT6,-1.7206024,1.3987222097967656e-08,6.431861603917975e-07
RSL1D1,-1.162967,1.3505443697552627e-08,6.22289290371848e-07
CYFIP2,-1.5695419,1.1555132444280835e-08,5.389711571654106e-07
RCAN3,-1.8799065,1.0609161437211168e-08,4.979087270800012e-07
TCF7,-2.4981613,1.0221140823525627e-08,4.806892715394428e-07
G3BP2,-1.1233008,1.0184512410380743e-08,4.799583260560797e-07
NSD3,-1.147603,8.424884451379133e-09,3.986844488197335e-07
CBLB,-1.3219762,6.8447240388770636e-09,3.259406037090371e-07
UBXN1,-1.034516,6.536329127360657e-09,3.125628646995447e-07
TSPYL2,-1.1347924,6.151250010948378e-09,2.9476790052464627e-07
SEPTIN6,-1.1243494,5.568372156258121e-09,2.6796466600580833e-07
CCND3,-1.2530625,5.456889338629178e-09,2.6315617611414693e-07
SUN2,-1.4490387,5.4538237990531525e-09,2.6315617611414693e-07
RAPGEF6,-1.2958524,4.667456128011114e-09,2.2652587715520042e-07
NR3C1,-1.3334795,4.045361878591971e-09,1.975976975976619e-07
FOSL2,-1.3001088,3.989595630894897e-09,1.952928510761928e-07
TAPBP,-1.009847,3.7429870776777445e-09,1.8401268220756117e-07
PDCD4,-1.2490656,3.2981798421676404e-09,1.628485240074183e-07
CCDC88C,-1.594843,2.7037716766705212e-09,1.337896758790748e-07
PTGER4,-1.0130153,2.4639965579807907e-09,1.2353632082105452e-07
WNK1,-1.1350908,2.2346706155900495e-09,1.1269644133569727e-07
DPP7,-1.1655661,2.1769072006035933e-09,1.1011280377808664e-07
JMY,-2.5329428,1.911980741808147e-09,9.75796090695898e-08
BHLHE40,-1.1547866,1.8208319227344545e-09,9.334634284973345e-08
TRBC1,-1.8859283,1.8019699247755438e-09,9.25878993854197e-08
FOXO1,-2.007709,1.098548881856461e-09,5.7748659697036406e-08
CCND2,-1.6063007,9.200439111864846e-10,4.8589418808414757e-08
CASP8,-1.5060436,9.087425391448854e-10,4.8104180641897406e-08
PPP1R2,-1.222502,8.015012160774459e-10,4.282575277078597e-08
TNFRSF14,-1.4999813,7.058036914818591e-10,3.7979914008298057e-08
MALT1,-1.3601925,5.80046427162895e-10,3.15107798927967e-08
CHD3,-1.5337725,5.766042715244919e-10,3.139872351301551e-08
NDFIP1,-1.1218344,5.227604434971035e-10,2.8603541381925646e-08
RBMS1,-1.3495651,4.4497320921410686e-10,2.4524165104434624e-08
PLAAT4,-1.1114478,4.213537267711387e-10,2.3278770700885094e-08
ANKRD12,-1.0215263,2.9893365420081244e-10,1.6718250213559934e-08
SIGIRR,-1.4076085,2.841213171261469e-10,1.5968319556605818e-08
KDM2A,-1.4778064,2.316458175242867e-10,1.3116224125591577e-08
NIBAN1,-1.5762603,2.1058980415861264e-10,1.1953728484434766e-08
TERF2IP,-1.176536,2.0364353927758513e-10,1.1588335602590983e-08
ARHGAP9,-1.3847059,1.8712809991162133e-10,1.070203469896564e-08
CTLA4,-1.4775431,1.676591321879832e-10,9.612738455573988e-09
ARHGAP45,-1.4578701,1.4438155012931514e-10,8.29902233344311e-09
CD6,-2.7100465,1.437171958105728e-10,8.281748888709514e-09
ITGB7,-2.569415,1.3136383884129095e-10,7.6084063605737e-09
ARHGAP4,-1.2573037,1.1730174187204538e-10,6.828701402791552e-09
LBH,-1.7270255,1.141904001188961e-10,6.681752924180753e-09
ZNF292,-1.7014284,1.0664511647560652e-10,6.272496488934769e-09
ANKRD44,-1.215493,9.324822161464139e-11,5.4987461668198636e-09
NOP58,-1.3978341,7.712785617178248e-11,4.5957703198484625e-09
P2RY8,-3.0340059,7.710381104714775e-11,4.5957703198484625e-09
PIM2,-1.7333235,7.280203674397168e-11,4.372348180385972e-09
IRF1,-1.4259008,6.92095578293431e-11,4.178641791277209e-09
TUBA4A,-1.4520186,4.228428018268644e-11,2.5942716590789992e-09
APRT,-1.0833225,3.048504516830986e-11,1.8855994514159488e-09
RIPOR2,-1.9660295,2.805388731904617e-11,1.7447065113555433e-09
SEMA4D,-1.6021388,2.250432350920199e-11,1.4111388752519441e-09
GRK2,-1.3040966,2.2203668004885942e-11,1.3961322959315297e-09
KMT2A,-1.3720175,2.207602273802472e-11,1.3919513284291378e-09
DIAPH1,-1.7072955,1.9053256899429864e-11,1.2054694954832146e-09
VAMP2,-1.0600725,1.7712054286049534e-11,1.1261502225113394e-09
ALDOA,-1.166876,1.640517107417762e-11,1.0459790027743167e-09
CNN2,-1.4681151,1.4063877613731827e-11,8.992190512465276e-10
CD247,-1.52605,1.1227543363822253e-11,7.260265399071651e-10
SYTL1,-2.101204,1.0648226853622205e-11,6.905268935673751e-10
LDHB,-1.1313889,1.0337650273426652e-11,6.723017014963928e-10
SNX9,-1.5227226,9.436653002781192e-12,6.154644574478668e-10
DUSP4,-1.5476876,7.380577012561621e-12,4.85539577918866e-10
SNRPD2,-1.0136443,7.356436666491173e-12,4.853542359497741e-10
ERN1,-1.9723101,7.2630264270426215e-12,4.805843242219307e-10
CLEC2D,-1.8695217,4.608227072804137e-12,3.0850724891519926e-10
GMFG,-1.0190628,4.276147832777039e-12,2.871199910609763e-10
RASAL3,-1.692394,3.3137285993235624e-12,2.244853880291754e-10
PRKCH,-1.5302099,2.780710906708908e-12,1.9064620981478364e-10
ARHGAP15,-1.3745357,2.682169033927335e-12,1.8444571465333533e-10
