source,target,distance,count
12.0,15.0,0.15004118424245494,2.0
1.0,5.0,0.24599166882136148,2.0
4.0,9.0,0.25965773610192755,2.0
11.0,16.0,0.3189602900867684,2.0
0.0,13.0,0.35888103130995364,2.0
10.0,14.0,0.5244751577373148,2.0
6.0,20.0,0.562112469686684,3.0
17.0,19.0,0.7105316527744363,4.0
3.0,21.0,0.8034801447555063,3.0
2.0,7.0,0.8528709635786264,2.0
25.0,26.0,1.0057829864311199,5.0
8.0,22.0,1.017161033510523,3.0
18.0,28.0,1.0831465792035802,5.0
23.0,24.0,1.4684591936520826,7.0
29.0,30.0,1.6140261004942582,12.0
27.0,31.0,1.7826383936596448,17.0
