UMAP_1,UMAP_2,leiden,cell_type
9.78368,7.3166947,0,Plasma cells
8.035444,6.959522,0,Plasma cells
7.076796,3.2237544,4,Plasma cells
4.2987313,7.9860873,1,Naive B cells
5.498129,8.025053,1,Naive B cells
10.35491,5.6158614,0,Plasma cells
5.311469,7.199676,1,Naive B cells
8.670026,6.8588786,0,Plasma cells
3.8397884,5.8364863,3,Plasma cells
4.3775597,8.545574,1,Naive B cells
7.96107,5.509515,0,Plasma cells
9.285829,8.026676,0,Plasma cells
5.187891,5.728145,3,Plasma cells
2.000948,5.0382485,5,Plasma cells
9.615398,5.721693,0,Plasma cells
7.401632,6.504461,0,Plasma cells
5.5050526,3.0976598,2,Plasma cells
4.627772,7.28717,1,Naive B cells
8.151456,3.481543,4,Plasma cells
4.63558,5.026249,3,Plasma cells
3.938935,5.6222095,3,Plasma cells
10.996786,5.912966,0,Plasma cells
4.201249,6.400626,3,Plasma cells
8.815381,6.013527,0,Plasma cells
0.29675356,3.5329044,5,Plasma cells
4.9806066,8.315191,1,Naive B cells
6.5000076,8.451157,1,Naive B cells
7.3362722,2.835761,4,Plasma cells
7.116472,3.3244598,4,Plasma cells
8.825769,6.282326,0,Plasma cells
7.7239275,7.135622,0,Plasma cells
3.8499331,8.380666,1,Naive B cells
10.208113,6.0807924,0,Plasma cells
3.85204,7.753544,1,Naive B cells
8.545512,6.013659,0,Plasma cells
5.6800604,2.412317,2,Plasma cells
5.900482,7.966666,1,Naive B cells
8.492184,6.5612035,0,Plasma cells
5.912797,9.358119,1,Naive B cells
3.7756453,5.2945414,3,Plasma cells
4.007974,7.830069,1,Naive B cells
5.2359567,7.658338,1,Naive B cells
7.80859,3.2078161,4,Plasma cells
4.166002,8.28496,1,Naive B cells
5.118051,7.3795366,1,Naive B cells
0.90879864,4.517053,5,Plasma cells
4.6994705,7.3325934,1,Naive B cells
5.847642,1.4987785,2,Plasma cells
8.266059,4.350947,4,Plasma cells
10.58378,6.21573,0,Plasma cells
5.668183,6.7390103,1,Naive B cells
4.022683,5.911846,3,Plasma cells
0.10834429,3.3276887,5,Plasma cells
6.07748,1.5238769,2,Plasma cells
9.932222,6.247541,0,Plasma cells
6.7335076,8.173893,6,Naive B cells
7.716015,8.366136,6,Naive B cells
9.440643,4.7711287,0,Plasma cells
4.689871,5.3643503,3,Plasma cells
6.9595804,7.4488535,1,Naive B cells
8.900897,5.4111648,0,Plasma cells
10.478955,6.341686,0,Plasma cells
5.0417757,8.884937,1,Naive B cells
4.8879747,2.3322494,2,Plasma cells
5.318521,8.321547,1,Naive B cells
10.364282,5.6468654,0,Plasma cells
10.314761,7.6062746,0,Plasma cells
9.641754,5.245183,0,Plasma cells
1.9142652,3.2478883,5,Plasma cells
1.8044885,3.2490447,5,Plasma cells
3.11276,3.1508079,2,Plasma cells
2.1455922,4.2276516,5,Plasma cells
3.7282205,5.8863883,3,Plasma cells
8.391425,7.641082,6,Naive B cells
7.2016563,4.077112,4,Plasma cells
1.1165432,4.765991,5,Plasma cells
4.3570065,5.4286933,3,Plasma cells
8.947164,5.5941997,0,Plasma cells
9.961014,5.2190237,0,Plasma cells
7.9845586,3.3117163,4,Plasma cells
9.178547,6.3725147,0,Plasma cells
8.8259325,4.5298486,0,Plasma cells
9.16121,8.061798,0,Plasma cells
10.452915,6.5064034,0,Plasma cells
5.44669,6.7416687,1,Naive B cells
9.050743,7.792991,0,Plasma cells
5.539706,3.1683128,2,Plasma cells
8.907187,6.9144115,0,Plasma cells
6.389608,9.01696,6,Naive B cells
8.492823,6.731136,0,Plasma cells
7.498992,7.0428395,6,Naive B cells
10.103597,6.073922,0,Plasma cells
7.4752436,8.304333,6,Naive B cells
5.566143,7.4528427,1,Naive B cells
-0.28340638,3.4083438,5,Plasma cells
-0.15071385,3.4910126,5,Plasma cells
9.957986,7.6464925,0,Plasma cells
4.941404,8.312585,1,Naive B cells
6.8700027,2.9983659,4,Plasma cells
9.2569065,6.068926,0,Plasma cells
9.339005,5.1047435,0,Plasma cells
9.025723,6.899903,0,Plasma cells
7.7338567,4.4422617,4,Plasma cells
9.723882,4.7369537,0,Plasma cells
5.24696,7.2482095,1,Naive B cells
6.80562,2.3076365,2,Plasma cells
5.585358,6.7852044,1,Naive B cells
7.7957106,2.8808665,4,Plasma cells
7.985443,5.7413692,0,Plasma cells
10.092778,7.5019927,0,Plasma cells
4.678325,6.2003117,3,Plasma cells
4.122723,8.099302,1,Naive B cells
6.8064594,3.3500445,4,Plasma cells
5.59055,6.989193,1,Naive B cells
6.022803,6.124835,1,Naive B cells
3.7830143,2.5278454,2,Plasma cells
10.480619,5.9348636,0,Plasma cells
4.4115148,8.868107,1,Naive B cells
1.253223,4.612415,5,Plasma cells
