UMAP_1,UMAP_2,leiden,patient_name
12.555031,4.7377963,13,p1_pre
2.2708757,9.730667,9,p1_pre
5.2480946,7.922289,11,p1_pre
7.0538464,6.1155005,4,p1_pre
6.9876175,7.7729053,23,p1_pre
6.9403143,7.4788537,23,p1_pre
4.3430476,6.1307373,4,p1_pre
-4.9299173,9.645049,7,p1_pre
13.020543,4.5011325,13,p1_pre
-4.334198,4.8178,18,p1_pre
6.953436,7.094466,23,p1_pre
-4.8000374,9.5331,7,p1_pre
11.656732,2.6949177,13,p1_pre
-4.0322857,7.8006043,8,p1_pre
2.0680597,9.549178,9,p1_pre
-4.039093,7.7655277,7,p1_pre
4.878884,5.9090734,4,p1_pre
5.538008,7.5959773,11,p1_pre
6.4093294,14.520594,17,p1_pre
7.032173,7.226559,23,p1_pre
7.3418207,4.4829116,15,p1_pre
-2.969724,6.6248302,8,p1_pre
6.6876626,14.885374,17,p1_pre
-2.994949,5.137842,2,p1_pre
2.4632063,9.99708,9,p1_pre
6.225304,5.852549,4,p1_pre
1.8734839,10.79776,9,p1_pre
5.75247,14.520839,17,p1_pre
6.15019,6.494439,4,p1_pre
11.502123,3.0047188,13,p1_pre
12.611138,2.886433,13,p1_pre
11.589984,2.8095956,13,p1_pre
5.8242307,5.591193,4,p1_pre
12.36548,4.75785,13,p1_pre
6.381184,14.265803,17,p1_pre
4.641866,6.29662,4,p1_pre
5.8565006,5.806008,4,p1_pre
6.5487866,7.866656,23,p1_pre
12.771069,4.7956567,13,p1_pre
2.4506257,-3.6939423,5,p1_pre
4.9801507,7.852271,11,p1_pre
11.143818,4.565363,13,p1_pre
-5.3681226,9.450093,7,p1_pre
4.471595,6.405354,4,p1_pre
7.3818316,4.923038,15,p1_pre
2.5820327,9.9897995,9,p1_pre
2.7234776,-2.6913414,5,p1_pre
4.9908495,7.8106856,11,p1_pre
1.3475785,7.58638,7,p1_pre
7.003932,7.39052,23,p1_pre
5.3128757,7.8091865,11,p1_pre
0.57559335,10.5704155,6,p1_pre
5.347345,7.8104763,11,p1_pre
12.87105,4.8019223,13,p1_pre
4.879242,6.070808,4,p1_pre
3.388852,-2.7709432,5,p1_pre
12.5909,4.770754,13,p1_pre
5.30195,7.9720693,11,p1_pre
5.134899,7.872404,11,p1_pre
11.089466,4.6647286,13,p1_pre
13.778842,3.166252,13,p1_pre
6.581035,14.176384,17,p1_pre
11.296158,4.4317036,13,p1_pre
2.0989401,10.469242,9,p1_pre
11.715072,3.079197,13,p1_pre
7.1650333,6.1463933,4,p1_pre
11.8862705,3.108617,13,p1_pre
6.095118,6.07607,11,p1_pre
5.626315,7.902231,11,p1_pre
6.431898,6.5071645,4,p1_pre
-0.3987725,-3.6413586,1,p1_pre
1.9526777,8.244048,9,p1_pre
-2.9418838,7.261586,2,p1_pre
11.64459,2.560189,13,p1_pre
5.5175686,7.589508,11,p1_pre
