UMAP_1,UMAP_2,leiden,cell_type
12.915306,4.6624994,7,T cells
-6.2386947,2.3629758,3,T cells
11.431995,6.942107,1,T cells
10.570502,2.09459,0,T cells
5.0575285,5.825209,5,T cells
7.5389977,0.05873347,6,T cells
12.258119,1.7552162,0,T cells
7.825902,9.691147,2,T cells
12.446843,6.1652403,1,T cells
14.182569,5.666742,7,T cells
8.52226,5.44802,4,T cells
9.724115,5.3057094,4,T cells
10.463901,0.7955506,0,T cells
9.1480255,5.6518884,4,T cells
8.145355,4.8568616,4,T cells
9.420363,0.8054197,0,T cells
10.2016325,3.9990625,1,T cells
11.522442,0.58054227,0,T cells
11.767486,1.992954,0,T cells
9.819281,2.087779,0,T cells
7.7374296,9.843931,2,T cells
11.900783,0.7493461,0,T cells
10.177719,7.5455027,4,T cells
12.231115,4.8623986,1,T cells
12.451801,4.175339,1,T cells
6.5235,6.7554793,5,T cells
11.585559,1.7899774,0,T cells
10.500655,2.546524,0,T cells
9.136581,2.5916781,0,T cells
7.4586744,8.920412,2,T cells
11.966917,4.523155,1,T cells
7.374987,1.1071414,6,T cells
4.598165,5.8851585,5,T cells
8.800736,2.2902231,0,T cells
8.448716,9.026324,2,T cells
11.656485,4.1737294,1,T cells
9.015897,5.0740705,4,T cells
11.406557,7.132021,1,T cells
11.512463,2.8070745,0,T cells
7.2684245,8.812796,2,T cells
14.053123,5.492389,7,T cells
9.014114,0.2168534,0,T cells
-3.6522832,2.0578673,3,T cells
4.6945,5.8335404,5,T cells
10.849883,1.9508989,0,T cells
11.617931,1.8323622,0,T cells
11.520755,5.7397685,1,T cells
9.221155,1.6916742,0,T cells
-3.2965214,1.5181994,3,T cells
6.7166786,9.543566,2,T cells
9.366557,5.043489,4,T cells
6.9878078,9.683689,2,T cells
7.9792314,7.7566113,2,T cells
11.699519,5.3955297,1,T cells
10.971634,1.594733,0,T cells
10.532112,6.4650207,1,T cells
-5.5450306,2.0710888,3,T cells
7.776385,5.8323126,4,T cells
7.523548,10.263891,2,T cells
-4.5906234,2.6929076,3,T cells
13.555531,4.7982717,7,T cells
13.068185,5.7814417,7,T cells
7.211737,6.255829,4,T cells
-3.596217,1.3066092,3,T cells
-5.097722,3.2986639,3,T cells
14.199115,5.922515,7,T cells
8.69889,0.86386204,6,T cells
9.9278,0.7502899,0,T cells
11.038796,3.9091575,1,T cells
6.7321067,10.483204,2,T cells
-4.649342,1.6569608,3,T cells
11.730752,1.7853817,0,T cells
10.407477,5.823809,4,T cells
6.1152225,8.512743,5,T cells
9.759813,7.113747,4,T cells
-6.1773305,2.1295726,3,T cells
-5.105115,1.9174306,3,T cells
11.993407,4.530716,1,T cells
7.878014,-0.25976273,6,T cells
6.695935,6.409967,5,T cells
11.5711155,3.3142488,1,T cells
9.372645,2.6941082,0,T cells
10.177762,1.4708093,0,T cells
11.998024,4.936067,1,T cells
7.062141,9.603657,2,T cells
6.5165305,7.814433,5,T cells
6.7687283,1.2378479,6,T cells
14.104861,5.364983,7,T cells
-5.9388795,2.9474313,3,T cells
10.437463,0.20744303,0,T cells
11.524516,6.3240943,1,T cells
-6.0891504,2.2628667,3,T cells
12.478646,5.055018,1,T cells
11.398064,3.5759244,1,T cells
12.091875,1.7451428,0,T cells
5.8680205,8.10681,5,T cells
9.824322,3.905506,1,T cells
8.027813,9.83199,2,T cells
10.959978,7.219292,4,T cells
9.775636,4.7960534,4,T cells
-4.5217137,1.588827,3,T cells
11.150011,6.17137,1,T cells
11.796093,3.9332144,1,T cells
7.670155,1.1740966,6,T cells
10.181703,0.5128625,0,T cells
7.232243,1.3113912,6,T cells
6.470082,9.409537,2,T cells
5.0420647,6.4085236,5,T cells
10.495315,2.1124506,0,T cells
10.921996,0.50996494,0,T cells
12.574675,7.397982,1,T cells
9.795592,1.7372773,0,T cells
11.860644,2.9026153,0,T cells
12.041551,4.782291,1,T cells
-5.8641534,2.2323139,3,T cells
-5.3422847,2.6166544,3,T cells
-6.115687,2.06925,3,T cells
8.18177,10.011127,2,T cells
12.2326145,3.7870803,1,T cells
11.298441,1.2679522,0,T cells
7.03643,1.1124431,6,T cells
10.28891,2.4082181,0,T cells
8.205995,10.294146,2,T cells
11.860937,3.2889564,1,T cells
11.833632,2.8022456,0,T cells
12.547822,4.5033164,1,T cells
8.023402,-0.17448501,6,T cells
10.649819,4.48924,1,T cells
12.247004,6.1518636,1,T cells
-5.718365,2.7391038,3,T cells
-6.2252755,3.1765497,3,T cells
11.657314,6.389597,1,T cells
-5.924912,2.4476345,3,T cells
-5.9538555,2.1743834,3,T cells
10.6093445,2.0952873,0,T cells
11.253998,6.3758793,1,T cells
8.182848,9.596966,2,T cells
8.22994,9.73556,2,T cells
7.8521748,8.247019,2,T cells
8.257521,5.3242893,4,T cells
9.156738,2.2115815,0,T cells
8.765241,5.3402605,4,T cells
7.9976635,9.524495,2,T cells
7.920958,0.51575476,6,T cells
11.3171625,5.492596,1,T cells
11.477995,5.19878,1,T cells
12.639511,7.487142,1,T cells
9.250547,2.1786075,0,T cells
11.827603,5.502416,1,T cells
10.889881,5.761071,1,T cells
9.563888,7.528377,4,T cells
-5.4702406,2.5066144,3,T cells
-4.2096524,1.7280893,3,T cells
11.110803,1.3559545,0,T cells
10.615876,3.5292938,1,T cells
11.393661,6.4944997,1,T cells
10.477619,3.2988167,0,T cells
7.718831,9.825928,2,T cells
11.099268,5.093682,1,T cells
10.9826,6.6314836,7,T cells
7.9061675,1.2728486,6,T cells
11.664789,5.709208,1,T cells
12.171563,5.31298,1,T cells
11.383883,5.834864,1,T cells
11.540678,3.4847598,1,T cells
10.7996645,3.7432225,1,T cells
6.542838,6.4519963,5,T cells
10.965301,5.6817865,1,T cells
12.428247,7.5546885,1,T cells
-5.960544,2.762974,3,T cells
9.758317,1.9054322,0,T cells
5.256539,6.4784803,5,T cells
11.582018,6.039023,1,T cells
8.8357725,5.9850883,4,T cells
10.413754,6.547526,1,T cells
11.886451,4.89247,1,T cells
6.692706,1.023106,6,T cells
6.6922703,9.315843,2,T cells
10.777574,3.907884,1,T cells
7.8200397,6.9620905,5,T cells
12.327902,6.2908816,1,T cells
13.1253195,5.762436,7,T cells
11.271284,5.575836,1,T cells
11.609578,5.6384764,1,T cells
7.2619176,1.4659823,6,T cells
-6.5591674,1.9771605,3,T cells
6.451581,7.9533043,5,T cells
8.953299,5.6174846,4,T cells
11.57036,5.1940746,1,T cells
12.414079,5.622108,1,T cells
8.0544,5.7936115,4,T cells
-4.255867,2.3301735,3,T cells
9.956657,6.35291,4,T cells
9.465299,-0.20850001,0,T cells
11.318315,7.408444,1,T cells
12.077301,2.330299,0,T cells
9.250565,5.619733,4,T cells
-5.302775,1.8194234,3,T cells
12.125912,6.519047,1,T cells
4.921975,6.140198,5,T cells
6.6581426,1.3841424,6,T cells
11.253938,2.3791828,0,T cells
10.6585,3.766709,1,T cells
9.306131,6.1397185,4,T cells
-5.036463,1.8731341,3,T cells
9.406109,5.7873125,4,T cells
8.262643,10.408319,2,T cells
6.9274316,8.458657,2,T cells
6.904295,9.936724,2,T cells
9.659983,0.623988,0,T cells
8.887036,8.242235,2,T cells
10.274989,1.0456916,0,T cells
10.448877,5.0063047,1,T cells
10.392005,7.292045,4,T cells
10.014922,1.4072293,0,T cells
10.415343,0.61457425,0,T cells
11.089082,5.3108315,1,T cells
10.537226,3.2526214,0,T cells
11.831951,2.645095,0,T cells
9.762954,4.0611525,1,T cells
9.905993,1.2273296,0,T cells
8.466848,9.696022,2,T cells
7.58226,10.197877,2,T cells
9.4472,1.5023018,0,T cells
7.9225106,2.300289,6,T cells
11.432687,0.7567902,0,T cells
11.619429,7.1469164,1,T cells
7.7359557,8.665757,2,T cells
12.316555,7.0152807,1,T cells
-5.834227,1.8109522,3,T cells
11.070727,2.6752195,0,T cells
9.613807,6.842942,4,T cells
10.214392,-0.19109519,0,T cells
9.706135,0.99101967,0,T cells
-3.4266577,1.7726817,3,T cells
10.517302,1.7292137,0,T cells
8.819546,2.2121882,0,T cells
6.4633803,6.263108,5,T cells
11.517024,1.701878,0,T cells
11.7507715,3.9680388,1,T cells
7.541388,8.722402,2,T cells
11.451316,7.0145683,1,T cells
10.658591,5.903074,1,T cells
13.027266,6.7684317,1,T cells
-6.465717,2.126483,3,T cells
6.876792,6.3498034,4,T cells
10.239729,1.059635,0,T cells
12.09981,4.892456,1,T cells
7.040936,1.1089394,6,T cells
-6.00887,3.2073236,3,T cells
9.677263,5.1869044,4,T cells
10.242017,1.7718614,0,T cells
12.321632,5.907101,1,T cells
6.526579,9.8681965,2,T cells
11.752196,5.328218,1,T cells
10.087884,7.3666887,4,T cells
7.7152014,0.50004995,6,T cells
8.984717,1.1224926,0,T cells
7.6015635,2.5022833,6,T cells
11.552897,2.2449596,1,T cells
-5.0674915,1.7266595,3,T cells
10.124843,5.5802994,4,T cells
9.407924,1.406451,0,T cells
12.425028,6.842624,1,T cells
13.067877,4.929968,7,T cells
12.6238365,5.419963,1,T cells
-4.527463,2.4834301,3,T cells
8.233239,9.530422,2,T cells
11.536577,3.7442174,1,T cells
10.692284,0.44756004,0,T cells
7.208606,10.048632,2,T cells
10.444382,4.258883,1,T cells
9.406096,5.299689,4,T cells
11.143456,6.850604,1,T cells
12.782527,6.5921535,1,T cells
7.806849,5.1500955,4,T cells
13.1523,5.3607845,7,T cells
7.9778996,10.415071,2,T cells
10.320127,4.8037505,1,T cells
12.655194,6.678063,1,T cells
9.608245,0.5830684,0,T cells
9.249419,1.1031996,0,T cells
7.055467,8.581814,2,T cells
9.88406,4.8068123,4,T cells
11.071547,3.8871047,1,T cells
-5.0292873,2.965597,3,T cells
12.084097,4.112432,1,T cells
8.444207,5.494893,4,T cells
-5.514121,2.6298373,3,T cells
12.676925,6.6372967,1,T cells
7.6784797,0.47152352,6,T cells
10.852246,5.260673,1,T cells
12.3907,2.7667148,0,T cells
10.519055,1.1942414,0,T cells
10.359331,6.911493,4,T cells
12.469537,7.187958,1,T cells
-3.0737174,1.8299212,3,T cells
8.265243,10.052262,2,T cells
-5.5083885,2.965771,3,T cells
10.86854,6.896295,1,T cells
8.047229,0.6980441,6,T cells
-5.544944,3.2161927,3,T cells
7.948196,0.3883575,6,T cells
7.1683784,1.1403898,6,T cells
10.570677,2.8445888,0,T cells
8.448034,1.6869544,0,T cells
9.378529,2.6967673,0,T cells
10.2226515,2.1006694,0,T cells
-6.064758,1.6997147,3,T cells
8.958732,2.7725692,0,T cells
11.820518,5.6750836,1,T cells
7.804628,-0.13770913,6,T cells
9.240141,3.0566442,0,T cells
10.589984,2.544839,0,T cells
8.226066,0.076331414,6,T cells
7.5198393,0.6894257,6,T cells
8.249521,9.071943,2,T cells
11.171957,0.692525,0,T cells
7.741916,9.151912,2,T cells
11.156699,1.9331491,0,T cells
10.518802,2.4019465,0,T cells
7.892784,9.738574,2,T cells
4.744741,6.1649194,5,T cells
12.078732,5.844537,1,T cells
6.6370945,8.0026655,5,T cells
7.498292,1.1112368,6,T cells
6.7822313,9.761728,2,T cells
11.444174,1.4049832,0,T cells
12.149485,6.5189447,1,T cells
9.165844,2.295743,0,T cells
8.171325,9.629029,2,T cells
13.2583885,5.994717,7,T cells
11.441899,7.122262,1,T cells
8.080468,1.1748875,6,T cells
11.565225,6.469909,1,T cells
10.886219,1.0167872,0,T cells
6.0976796,7.665472,5,T cells
7.8127556,5.87464,4,T cells
7.000242,1.3854991,6,T cells
5.954174,7.9786396,5,T cells
11.955132,7.0675383,1,T cells
9.082159,6.437223,4,T cells
10.944142,3.2157142,0,T cells
12.263951,6.9067554,1,T cells
7.7439346,9.998453,2,T cells
9.579269,1.5372216,0,T cells
7.2740955,9.759723,2,T cells
7.483667,10.538671,2,T cells
6.9919176,1.7499716,6,T cells
13.73363,5.970302,7,T cells
7.352501,8.950684,2,T cells
-4.295633,1.7825402,3,T cells
10.871959,1.5357,0,T cells
11.764921,5.3019295,1,T cells
6.997447,10.260768,2,T cells
-6.013048,2.2136455,3,T cells
12.947334,5.1468663,7,T cells
11.091712,4.9377627,1,T cells
9.118369,1.3994066,0,T cells
11.706239,5.483909,1,T cells
10.874266,5.8771734,1,T cells
-4.123222,1.8670716,3,T cells
7.097256,9.497122,2,T cells
-3.5228188,1.155235,3,T cells
7.6795707,7.040525,5,T cells
7.4132886,5.676512,5,T cells
10.239813,7.3500886,4,T cells
7.3345222,0.7829882,6,T cells
9.140411,1.3449723,0,T cells
