UMAP_1,UMAP_2,leiden,cell_type
9.391246,10.346115,1,Unknown
9.951954,13.204837,17,Unknown
6.7808642,9.380077,0,Unknown
14.453623,9.554741,3,Unknown
-4.989781,1.0109737,5,Unknown
6.4424973,9.287144,0,Unknown
8.974518,-1.5237466,2,Unknown
8.088646,9.181467,0,Unknown
9.62865,-1.3369341,2,Unknown
14.539681,9.636955,3,Unknown
-6.2030406,0.83945197,5,Unknown
7.245452,10.091517,0,Unknown
-4.213657,1.8287407,5,Unknown
8.204361,-0.32614547,2,Unknown
8.430519,-1.1309062,2,Unknown
9.039175,11.472705,1,Unknown
8.259661,-2.0067751,2,Unknown
9.16763,-1.6993282,2,Unknown
-6.4345646,5.1611934,8,Unknown
-5.0537305,3.8314114,8,Unknown
6.8815236,10.5515375,0,Unknown
8.124906,-2.3711925,2,Unknown
14.32503,8.703596,3,Unknown
8.314952,7.0991664,13,Unknown
10.109309,9.881822,1,Unknown
9.451986,-1.4888604,2,Unknown
10.566263,10.652043,1,Unknown
-3.0098164,8.781859,15,Unknown
13.77572,9.002925,3,Unknown
9.991724,10.581277,1,Unknown
7.6123695,8.960403,0,Unknown
4.5596247,3.5393438,21,Unknown
11.464029,10.895788,11,Unknown
0.8815615,6.6238647,20,Unknown
-5.2390428,1.522281,5,Unknown
8.149962,7.339485,13,Unknown
-4.818383,7.3237767,4,Unknown
10.933435,8.747651,12,Unknown
6.447115,9.580797,0,Unknown
1.4164261,6.1290073,20,Unknown
-3.5100875,9.44028,14,Unknown
9.259017,12.90686,17,Unknown
7.106164,10.4694605,0,Unknown
-5.239461,2.2430513,5,Unknown
-4.8260064,1.6495891,5,Unknown
9.141322,-0.79832506,2,Unknown
12.93604,8.698336,3,Unknown
12.013106,10.8545885,11,Unknown
9.5469,-0.9862706,2,Unknown
-4.0689473,4.1291423,7,Unknown
10.861158,-1.8314695,10,Unknown
-3.7130485,2.3387887,7,Unknown
7.1872888,9.775474,0,Unknown
11.737066,-0.69137716,10,Unknown
10.392634,10.219782,1,Unknown
8.417736,6.900616,13,Unknown
11.72523,6.67265,12,Unknown
-5.2777224,5.9666085,4,Unknown
11.253734,12.070728,11,Unknown
11.661392,10.954466,11,Unknown
11.677471,7.031464,12,Unknown
8.466081,6.621385,13,Unknown
-4.1218276,8.43733,4,Unknown
11.149876,10.294404,11,Unknown
-5.0837054,6.9344435,4,Unknown
-6.210059,0.82229364,5,Unknown
-2.6385686,4.402092,15,Unknown
9.10651,-0.27950495,2,Unknown
8.40346,7.423358,13,Unknown
-2.1051533,10.25672,14,Unknown
6.455475,9.191252,0,Unknown
10.733429,10.988222,1,Unknown
6.1487536,10.311303,0,Unknown
11.579561,9.918194,11,Unknown
8.338697,-1.0979924,2,Unknown
-4.6331234,1.2519014,5,Unknown
-4.483315,6.673241,4,Unknown
8.600712,12.111624,1,Unknown
-4.8704157,3.7961836,7,Unknown
7.7507415,10.110266,0,Unknown
12.752882,7.126419,3,Unknown
8.639514,9.81202,1,Unknown
10.337024,0.25242075,18,Unknown
12.868384,3.449121,6,Unknown
6.985083,10.258857,0,Unknown
13.705382,5.0020614,6,Unknown
8.43857,7.644211,13,Unknown
4.714599,3.769809,21,Unknown
-5.439202,8.197048,4,Unknown
-3.3653715,1.6207471,5,Unknown
13.015948,3.985313,6,Unknown
-4.9448347,5.632646,4,Unknown
8.673725,-1.7302899,2,Unknown
11.194314,-2.2318192,10,Unknown
-6.0658307,5.8959394,8,Unknown
1.2596103,6.255527,20,Unknown
12.589612,4.4327803,6,Unknown
-4.3470435,5.107783,4,Unknown
-4.8634224,4.7081566,8,Unknown
7.134272,11.154924,0,Unknown
9.22743,10.403047,1,Unknown
7.448742,9.457943,0,Unknown
12.536777,5.07411,6,Unknown
14.487357,9.210468,3,Unknown
13.783625,5.0953307,6,Unknown
8.281271,-2.2817388,2,Unknown
-2.4325593,9.754062,14,Unknown
10.586793,11.198039,1,Unknown
-5.258916,0.829538,5,Unknown
11.404064,-0.58631915,10,Unknown
-4.3707314,7.8845825,4,Unknown
-6.2518826,4.012664,9,Unknown
9.846077,10.191712,1,Unknown
