leiden,gene,expression
13,CD3D,0.0
16,CD3D,0.0
10,CD3D,0.0
9,CD3D,0.0
8,CD3D,0.0
1,CD3D,1.809477
10,CD3D,0.0
3,CD3D,0.0
16,CD3D,0.0
11,CD3D,2.775876
3,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
10,CD3D,0.0
2,CD3D,0.0
3,CD3D,0.0
2,CD3D,0.0
8,CD3D,0.0
3,CD3D,0.0
16,CD3D,0.0
6,CD3D,0.0
13,CD3D,0.0
2,CD3D,0.0
3,CD3D,0.0
3,CD3D,0.0
9,CD3D,0.0
1,CD3D,0.0
8,CD3D,0.0
10,CD3D,0.0
3,CD3D,0.0
3,CD3D,0.0
1,CD3D,0.0
10,CD3D,0.0
13,CD3D,0.0
9,CD3D,0.0
10,CD3D,0.0
13,CD3D,0.0
3,CD3D,0.0
13,CD3D,0.0
10,CD3D,0.0
10,CD3D,0.0
3,CD3D,0.0
9,CD3D,0.0
13,CD3D,0.0
3,CD3D,0.0
13,CD3D,0.0
13,CD3D,0.0
10,CD3D,0.0
10,CD3D,0.0
8,CD3D,0.0
16,CD3D,0.0
13,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
10,CD3D,0.0
8,CD3D,0.0
8,CD3D,0.0
10,CD3D,0.0
16,CD3D,0.0
2,CD3D,0.0
8,CD3D,0.0
3,CD3D,0.0
3,CD3D,0.0
13,CD3D,0.0
1,CD3D,0.0
16,CD3D,0.0
10,CD3D,0.0
10,CD3D,0.0
3,CD3D,0.0
13,CD3D,0.0
13,CD3D,0.0
3,CD3D,0.0
13,CD3D,0.0
1,CD3D,2.654563
4,CD3D,0.0
1,CD3D,0.0
9,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
13,CD3D,0.0
1,CD3D,0.0
4,CD3D,1.4471484
8,CD3D,0.0
3,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
10,CD3D,0.0
13,CD3D,0.0
7,CD3D,0.0
3,CD3D,0.0
9,CD3D,0.0
1,CD3D,0.0
8,CD3D,0.0
9,CD3D,0.0
5,CD3D,0.0
1,CD3D,0.0
8,CD3D,0.0
9,CD3D,0.0
8,CD3D,0.0
4,CD3D,0.0
13,CD3D,0.0
8,CD3D,0.0
3,CD3D,0.0
3,CD3D,0.0
3,CD3D,0.0
9,CD3D,0.0
8,CD3D,0.0
10,CD3D,0.0
16,CD3D,0.0
10,CD3D,0.0
9,CD3D,0.0
9,CD3D,0.0
10,CD3D,0.0
1,CD3D,2.9004393
8,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
13,CD3D,0.0
13,CD3D,0.0
9,CD3D,0.0
7,CD3D,0.0
9,CD3D,0.0
16,CD3D,0.0
13,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
9,CD3D,0.0
9,CD3D,0.0
2,CD3D,0.0
9,CD3D,0.0
3,CD3D,0.0
3,CD3D,0.0
13,CD3D,0.0
1,CD3D,0.0
3,CD3D,0.0
16,CD3D,0.0
3,CD3D,0.0
13,CD3D,0.0
3,CD3D,0.0
13,CD3D,0.0
13,CD3D,0.0
9,CD3D,0.0
16,CD3D,0.0
13,CD3D,0.0
16,CD3D,0.0
10,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
8,CD3D,0.0
3,CD3D,0.0
13,CD3D,0.0
9,CD3D,0.0
10,CD3D,0.0
10,CD3D,0.0
9,CD3D,0.0
13,CD3D,0.0
10,CD3D,0.0
6,CD3D,0.0
10,CD3D,0.0
3,CD3D,0.0
6,CD3D,0.0
13,CD3D,0.0
3,CD3D,0.0
13,CD3D,0.0
13,CD3D,0.0
10,CD3D,0.0
10,CD3D,0.0
9,CD3D,0.0
3,CD3D,0.0
9,CD3D,0.0
8,CD3D,0.0
13,CD3D,0.0
1,CD3D,0.0
10,CD3D,0.0
3,CD3D,0.0
3,CD3D,0.0
3,CD3D,0.0
3,CD3D,0.0
2,CD3D,0.0
3,CD3D,0.0
8,CD3D,0.0
3,CD3D,0.0
2,CD3D,0.0
0,CD3D,0.0
9,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
10,CD3D,0.0
9,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
8,CD3D,0.0
3,CD3D,0.0
13,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
10,CD3D,0.0
13,CD3D,0.0
2,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
10,CD3D,0.2841919
4,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
3,CD3D,0.0
3,CD3D,0.0
13,CD3D,0.0
8,CD3D,0.0
13,CD3D,0.0
2,CD3D,0.0
13,CD3D,0.0
10,CD3D,0.0
8,CD3D,0.0
0,CD3D,0.0
9,CD3D,0.0
3,CD3D,0.0
3,CD3D,0.0
13,CD3D,0.0
4,CD3D,2.0664263
3,CD3D,0.0
10,CD3D,0.0
9,CD3D,0.0
10,CD3D,0.0
16,CD3D,0.0
3,CD3D,0.0
13,CD3D,0.0
10,CD3D,0.0
13,CD3D,0.0
13,CD3D,0.0
8,CD3D,0.0
8,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
10,CD3D,0.0
8,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
3,CD3D,0.0
1,CD3D,2.0550659
16,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
3,CD3D,0.0
0,CD3D,0.0
13,CD3D,0.0
6,CD3D,0.0
13,CD3D,0.0
9,CD3D,0.0
10,CD3D,0.0
13,CD3D,0.0
10,CD3D,0.0
16,CD3D,0.0
13,CD3D,0.0
10,CD3D,0.0
3,CD3D,0.0
16,CD3D,0.0
13,CD3D,0.0
10,CD3D,0.0
13,CD3D,0.0
10,CD3D,0.0
8,CD3D,0.0
16,CD3D,0.0
16,CD3D,0.0
10,CD3D,0.0
7,CD3D,0.0
16,CD3D,0.0
9,CD3D,0.0
16,CD3D,0.0
0,CD3D,0.0
2,CD3D,0.0
3,CD3D,0.0
13,CD3D,0.0
16,CD3D,0.0
3,CD3D,0.0
13,CD3D,0.0
9,CD3D,0.0
4,CD3D,0.0
13,CD3D,0.0
7,CD3D,0.0
10,CD3D,0.0
3,CD3D,0.0
2,CD3D,0.0
10,CD3D,0.0
8,CD3D,0.0
8,CD3D,0.0
10,CD3D,0.0
9,CD3D,0.0
16,CD3D,0.0
8,CD3D,0.0
1,CD3D,2.5147595
7,CD3D,0.0
13,CD3D,0.0
1,CD3D,0.0
3,CD3D,0.0
8,CD3D,0.0
3,CD3D,0.0
0,CD3D,0.0
3,CD3D,0.0
8,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
0,CD3D,0.0
8,CD3D,0.0
0,CD3D,0.0
13,CD3D,0.0
13,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
10,CD3D,0.0
1,CD3D,0.0
3,CD3D,0.0
3,CD3D,0.0
16,CD3D,0.0
10,CD3D,0.0
10,CD3D,0.0
10,CD3D,0.0
8,CD3D,0.0
2,CD3D,0.0
16,CD3D,0.0
3,CD3D,0.0
3,CD3D,0.0
3,CD3D,0.0
3,CD3D,0.0
9,CD3D,0.0
13,CD3D,0.0
10,CD3D,0.0
3,CD3D,0.0
7,CD3D,0.0
2,CD3D,0.0
9,CD3D,0.0
13,CD3D,0.0
9,CD3D,0.0
13,CD3D,0.0
3,CD3D,0.0
13,CD3D,0.0
3,CD3D,0.0
1,CD3D,0.0
10,CD3D,0.0
13,CD3D,0.0
3,CD3D,0.0
3,CD3D,0.0
13,CD3D,0.0
3,CD3D,0.0
13,CD3D,0.0
13,CD3D,0.0
3,CD3D,0.0
8,CD3D,0.0
10,CD3D,0.0
13,CD3D,0.0
6,CD3D,0.0
3,CD3D,0.0
2,CD3D,0.0
13,CD3D,0.0
16,CD3D,0.0
3,CD3D,0.0
13,CD3D,0.0
3,CD3D,0.0
8,CD3D,0.0
13,CD3D,0.0
1,CD3D,0.0
3,CD3D,0.0
16,CD3D,0.0
3,CD3D,0.0
8,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
13,CD3D,0.0
13,CD3D,0.0
13,CD3D,0.0
13,CD3D,0.0
8,CD3D,0.0
13,CD3D,0.0
2,CD3D,0.0
10,CD3D,0.0
9,CD3D,0.0
10,CD3D,0.0
16,CD3D,0.0
3,CD3D,0.0
3,CD3D,0.0
8,CD3D,0.0
10,CD3D,0.0
0,CD3D,0.0
3,CD3D,0.0
13,CD3D,0.0
10,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
10,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
10,CD3D,0.0
13,CD3D,0.0
13,CD3D,0.0
13,CD3D,0.0
16,CD3D,0.0
16,CD3D,0.0
3,CD3D,0.0
3,CD3D,0.0
8,CD3D,0.0
9,CD3D,0.0
2,CD3D,0.0
10,CD3D,0.0
16,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
9,CD3D,0.0
0,CD3D,0.0
